degree clustering_coefficient ego_net_edges
0.0 0.29 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.14 0.0 0.14
0.14 0.0 0.14
0.0 0.14 0.0
0.0 0.29 0.0
0.14 0.14 0.14
0.0 0.0 0.0
0.0 0.0 0.0
0.14 0.14 0.14
0.0 0.29 0.0
0.29 0.43 0.29
0.14 0.57 0.14
0.0 0.71 0.0
0.0 0.0 0.0
0.14 0.0 0.14
0.14 0.14 0.14
0.0 0.0 0.0
0.0 0.0 0.0
0.14 0.14 0.14
0.29 0.0 0.29
0.0 0.14 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.29 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.14 0.0 0.14
0.0 0.14 0.0
0.0 0.29 0.0
0.0 0.43 0.0
0.14 0.57 0.14
0.14 0.14 0.14
0.14 0.0 0.14
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.14 0.29 0.14
0.29 0.43 0.29
0.14 0.57 0.14
0.14 0.0 0.14
0.0 0.0 0.0
0.29 0.0 0.29
0.0 0.14 0.0
0.0 0.29 0.0
0.0 0.43 0.0
0.0 0.57 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.14 0.0 0.14
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.0 0.0
0.14 0.14 0.14
0.0 0.29 0.0
0.0 0.43 0.0
0.14 0.0 0.14
0.0 0.14 0.0
0.14 0.29 0.14
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.14 0.0 0.14
0.14 0.0 0.14
0.0 0.0 0.0
0.14 0.14 0.14
0.0 0.29 0.0
0.14 0.0 0.14
0.0 0.0 0.0
0.0 0.0 0.0
0.14 0.0 0.14
0.14 0.0 0.14
0.0 0.0 0.0
0.14 0.14 0.14
0.29 0.0 0.29
0.0 0.14 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.29 0.0 0.29
0.0 0.0 0.0
0.14 0.14 0.14
0.0 0.29 0.0
0.0 0.0 0.0
0.14 0.0 0.14
0.0 0.0 0.0
0.14 0.0 0.14
0.0 0.0 0.0
0.14 0.14 0.14
0.0 0.14 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.14 0.14 0.14
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.14 0.0
0.0 0.14 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.14 0.0 0.14
0.0 0.14 0.0
0.14 0.0 0.14
0.14 0.14 0.14
0.0 0.0 0.0
0.0 0.0 0.0
0.14 0.14 0.14
0.0 0.0 0.0
0.0 0.14 0.0
0.14 0.29 0.14
0.0 0.29 0.0
0.14 0.14 0.14
0.0 0.0 0.0
0.14 0.14 0.14
0.0 0.29 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.14 0.0 0.14
0.0 0.14 0.0
0.0 0.0 0.0
0.14 0.14 0.14
0.29 0.29 0.29
0.43 0.0 0.43
0.0 0.14 0.0
0.0 0.0 0.0
0.14 0.0 0.14
0.29 0.0 0.29
0.43 0.14 0.43
0.0 0.14 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.14 0.0
0.14 0.29 0.14
0.14 0.0 0.14
0.14 0.0 0.14
0.0 0.0 0.0
0.14 0.0 0.14
0.0 0.14 0.0
0.14 0.0 0.14
0.0 0.14 0.0
0.14 0.29 0.14
0.0 0.0 0.0
0.0 0.0 0.0
0.14 0.29 0.14
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.14 0.0 0.14
0.14 0.14 0.14
0.0 0.29 0.0
0.29 0.29 0.29
0.43 0.29 0.43
0.57 0.29 0.57
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.14 0.14 0.14
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.29 0.0
0.14 0.14 0.14
0.29 0.0 0.29
0.0 0.14 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.14 0.0 0.14
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.29 0.0
0.0 0.43 0.0
0.14 0.0 0.14
0.14 0.14 0.14
0.0 0.29 0.0
0.0 0.29 0.0
0.0 0.0 0.0
0.14 0.14 0.14
0.0 0.43 0.0
0.0 0.57 0.0
0.0 0.71 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.29 0.0
0.0 0.29 0.0
0.14 0.0 0.14
0.0 0.14 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.14 0.0
0.14 0.0 0.14
0.29 0.14 0.29
0.0 0.0 0.0
0.0 0.29 0.0
0.0 0.0 0.0
0.14 0.0 0.14
0.0 0.0 0.0
0.0 0.0 0.0
0.14 0.0 0.14
0.29 0.14 0.29
0.43 0.29 0.43
0.57 0.43 0.57
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.14 0.14 0.14
0.0 0.0 0.0
0.0 0.14 0.0
0.0 0.14 0.0
0.14 0.29 0.14
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.29 0.0
0.0 0.14 0.0
0.14 0.29 0.14
0.14 0.43 0.14
0.0 0.14 0.0
0.29 0.0 0.29
0.0 0.14 0.0
0.0 0.29 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.14 0.0 0.14
0.14 0.0 0.14
0.29 0.0 0.29
0.14 0.0 0.14
0.0 0.14 0.0
0.14 0.0 0.14
0.0 0.14 0.0
0.14 0.14 0.14
0.0 0.0 0.0
0.0 0.29 0.0
0.0 0.14 0.0
0.0 0.29 0.0
0.14 0.0 0.14
0.0 0.0 0.0
0.14 0.0 0.14
0.0 0.0 0.0
0.14 0.14 0.14
0.0 0.0 0.0
